seqname,tax_id
A00004272,g__Brucella
A00004271,g__Streptomyces
A00004270,g__Actinobacillus
A00005050,g__Pseudomonas
A00005051,g__Pseudomonas
A00005052,g__Pseudomonas
A00005053,g__Pseudomonas
A00005054,g__Pseudomonas
A00002007,g__Thioalkalivibrio
A00002004,g__Corynebacterium
A00002005,p__Caldiserica
A00005058,g__Rothia
A00005059,g__Pseudomonas
A00002008,g__Staphylococcus
A00002009,g__Rhodococcus
A00003373,g__Photobacterium
A00003372,g__Nitrobacter
A00003069,g__Lactobacillus
A00003068,g__Methylomonas
A00003063,g__Pseudomonas
A00003062,f__Flavobacteriaceae
A00003060,g__Desulfobacter
A00003067,g__Photobacterium
A00003066,g__Mycobacterium
A00003065,g__Synechocystis
A00003064,s__goodfellowii
A00003456,g__Sulfitobacter
A00004879,g__Bartonella
A00004878,g__Pediococcus
A00004871,g__Leptospira
A00004870,g__Streptococcus
A00004873,g__Nocardiopsis
A00004872,g__Gordonia
A00004875,g__Streptococcus
A00004874,g__Thioalkalivibrio
A00004877,f__Ectothiorhodospiraceae
A00004876,f__Pseudoalteromonadaceae
A00001968,f__Methanomicrobiaceae
A00001969,g__Methanococcus
A00001962,f__Halobacteriaceae
A00001963,f__Halobacteriaceae
A00001964,f__Halobacteriaceae
A00001965,g__Desulfurococcus
A00001966,g__Archaeoglobus
A00005560,g__Enterococcus
A00005561,g__Thioalkalivibrio
A00001049,g__Crocosphaera
A00001048,g__Zymomonas
A00005564,g__Flavobacterium
A00005565,f__Nocardiaceae
A00005566,g__Salinispora
A00001296,f__Flavobacteriaceae
A00001297,f__Flavobacteriaceae
A00001294,g__Candidatus_Liberibacter
A00001295,g__Nitrospira
A00001292,g__Campylobacter
A00001293,g__Candidatus_Blochmannia
A00001290,g__Caldicellulosiruptor
A00001291,f__Deferribacteraceae
A00001041,p__Chloroflexi
A00001298,g__Peptoclostridium
A00001299,g__Deinococcus
A00001040,p__Synergistetes
A00002929,g__Enterococcus
A00002928,g__Anaplasma
A00002925,g__Streptococcus
A00002924,g__Streptococcus
A00002927,g__Frankia
A00002926,g__Bradyrhizobium
A00002921,g__Yersinia
A00002920,g__Streptococcus
A00002923,g__Pseudomonas
A00002922,g__Streptococcus
A00000219,o__Pirellulales
A00000218,f__Comamonadaceae
A00004565,f__Flavobacteriaceae
A00000211,g__Pseudomonas
A00000210,g__Pseudomonas
A00000213,g__Psychrobacter
A00000212,g__Psychrobacter
A00000215,g__Cupriavidus
A00000214,g__Cupriavidus
A00000217,g__Rhodococcus
A00000216,g__Ralstonia
A00004518,g__Selenomonas
A00001039,g__Sulfurospirillum
A00001748,f__Desulfohalobiaceae
A00001749,g__Bacteroides
A00001032,o__Sphaerobacterales
A00001745,g__Flexispira
A00001030,g__Rothia
A00001747,g__Porphyromonas
A00001740,g__Chryseobacterium
A00001741,g__Bacteroides
A00001034,g__Staphylococcus
A00004515,g__Brucella
A00002539,g__Providencia
A00000435,g__Shewanella
A00000434,g__Roseobacter
A00000437,g__Shewanella
A00002532,g__Enterobacter
A00000436,g__Shewanella
A00002533,g__Brucella
A00000431,g__Psychromonas
