tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
o__Verrucomicrobiales,c__Verrucomicrobiae,order,o__Verrucomicrobiales,Root,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,,,
f__Verrucomicrobiaceae,o__Verrucomicrobiales,family,f__Verrucomicrobiaceae,Root,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,,
p__Tenericutes,k__Bacteria,phylum,p__Tenericutes,Root,k__Bacteria,p__Tenericutes,,,,,
c__Mollicutes,p__Tenericutes,class,c__Mollicutes,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,,,,
o__Mycoplasmatales,c__Mollicutes,order,o__Mycoplasmatales,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,,,
f__Mycoplasmataceae,o__Mycoplasmatales,family,f__Mycoplasmataceae,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,,
g__Ureaplasma,f__Mycoplasmataceae,genus,g__Ureaplasma,Root,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Ureaplasma,
f__Rikenellaceae,o__Bacteroidales,family,f__Rikenellaceae,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,,
g__Alistipes,f__Rikenellaceae,genus,g__Alistipes,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,
p__Fusobacteria,k__Bacteria,phylum,p__Fusobacteria,Root,k__Bacteria,p__Fusobacteria,,,,,
o__Fusobacteriales,p__Fusobacteria,class,o__Fusobacteriales,Root,k__Bacteria,p__Fusobacteria,o__Fusobacteriales,,,,
f__Fusobacteriaceae,o__Fusobacteriales,order,f__Fusobacteriaceae,Root,k__Bacteria,p__Fusobacteria,o__Fusobacteriales,f__Fusobacteriaceae,,,
g__Fusobacterium,f__Fusobacteriaceae,family,g__Fusobacterium,Root,k__Bacteria,p__Fusobacteria,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,,
s__nucleatum,g__Fusobacterium,genus,s__nucleatum,Root,k__Bacteria,p__Fusobacteria,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__nucleatum,
f__Helicobacteraceae,o__Campylobacterales,family,f__Helicobacteraceae,Root,k__Bacteria,p__[Epsilonae],c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,,
g__Helicobacter,f__Helicobacteraceae,genus,g__Helicobacter,Root,k__Bacteria,p__[Epsilonae],c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,
f__Hyphomonadaceae,o__Rhodobacterales,family,f__Hyphomonadaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Hyphomonadaceae,,
f__Gordoniaceae,o__Corynebacteriales,family,f__Gordoniaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Gordoniaceae,,
g__Gordonia,f__Gordoniaceae,genus,g__Gordonia,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Gordoniaceae,g__Gordonia,
g__Arthrobacter,f__Micrococcaceae,genus,g__Arthrobacter,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Arthrobacter,
g__Thioalkalivibrio,f__Ectothiorhodospiraceae,genus,g__Thioalkalivibrio,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Ectothiorhodospiraceae,g__Thioalkalivibrio,
s__tropici,g__Rhizobium,species,s__tropici,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__tropici
f__Anaplasmataceae,o__Rickettsiales,family,f__Anaplasmataceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,,
g__Anaplasma,f__Anaplasmataceae,genus,g__Anaplasma,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Anaplasma,
s__marginale,g__Anaplasma,species,s__marginale,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Anaplasma,s__marginale
o__Acidobacteriales,c__Acidobacteriia,order,o__Acidobacteriales,Root,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,,,
f__Acidobacteriaceae,o__Acidobacteriales,family,f__Acidobacteriaceae,Root,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,,
g__Terriglobus,f__Acidobacteriaceae,genus,g__Terriglobus,Root,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Terriglobus,
g__Congregibacter,f__Alteromonadaceae,genus,g__Congregibacter,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Congregibacter,
g__Oribacterium,f__Lachnospiraceae,genus,g__Oribacterium,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Oribacterium,
p__[Modulibacteria],k__Bacteria,phylum,p__[Modulibacteria],Root,k__Bacteria,p__[Modulibacteria],,,,,
c__[Moduliflexia],p__[Modulibacteria],class,c__[Moduliflexia],Root,k__Bacteria,p__[Modulibacteria],c__[Moduliflexia],,,,
o__[Moduliflexales],c__[Moduliflexia],order,o__[Moduliflexales],Root,k__Bacteria,p__[Modulibacteria],c__[Moduliflexia],o__[Moduliflexales],,,
f__[Moduliflexaceae],o__[Moduliflexales],family,f__[Moduliflexaceae],Root,k__Bacteria,p__[Modulibacteria],c__[Moduliflexia],o__[Moduliflexales],f__[Moduliflexaceae],,
g__Candidatus_Moduliflexus,f__[Moduliflexaceae],genus,g__Candidatus_Moduliflexus,Root,k__Bacteria,p__[Modulibacteria],c__[Moduliflexia],o__[Moduliflexales],f__[Moduliflexaceae],g__Candidatus_Moduliflexus,
o__Pla1,c__Phycisphaerae,order,o__Pla1,Root,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Pla1,,,
p__Zixibacteria,k__Bacteria,phylum,p__Zixibacteria,Root,k__Bacteria,p__Zixibacteria,,,,,
p__Nitrospirae,k__Bacteria,phylum,p__Nitrospirae,Root,k__Bacteria,p__Nitrospirae,,,,,
c__Nitrospira,p__Nitrospirae,class,c__Nitrospira,Root,k__Bacteria,p__Nitrospirae,c__Nitrospira,,,,
o__Nitrospirales,c__Nitrospira,order,o__Nitrospirales,Root,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,,,
f__[Thermodesulfovibrionaceae],o__Nitrospirales,family,f__[Thermodesulfovibrionaceae],Root,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__[Thermodesulfovibrionaceae],,
g__DCE29,f__[Thermodesulfovibrionaceae],genus,g__DCE29,Root,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__[Thermodesulfovibrionaceae],g__DCE29,
o__SHA-20,c__Anaerolineae,order,o__SHA-20,Root,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SHA-20,,,
p__Armatimonadetes,k__Bacteria,phylum,p__Armatimonadetes,Root,k__Bacteria,p__Armatimonadetes,,,,,
c__[Aminicenia],p__Aminicenantes,class,c__[Aminicenia],Root,k__Bacteria,p__Aminicenantes,c__[Aminicenia],,,,
o__[Aminicenales],c__[Aminicenia],order,o__[Aminicenales],Root,k__Bacteria,p__Aminicenantes,c__[Aminicenia],o__[Aminicenales],,,
f__[Aminicenaceae],o__[Aminicenales],family,f__[Aminicenaceae],Root,k__Bacteria,p__Aminicenantes,c__[Aminicenia],o__[Aminicenales],f__[Aminicenaceae],,
g__Candidatus_Aminicenans,f__[Aminicenaceae],genus,g__Candidatus_Aminicenans,Root,k__Bacteria,p__Aminicenantes,c__[Aminicenia],o__[Aminicenales],f__[Aminicenaceae],g__Candidatus_Aminicenans,
p__Fervidibacteria,k__Bacteria,phylum,p__Fervidibacteria,Root,k__Bacteria,p__Fervidibacteria,,,,,
p__Calescamantes,k__Bacteria,phylum,p__Calescamantes,Root,k__Bacteria,p__Calescamantes,,,,,
p__Marinimicrobia,k__Bacteria,phylum,p__Marinimicrobia,Root,k__Bacteria,p__Marinimicrobia,,,,,
p__Omnitrophica,k__Bacteria,phylum,p__Omnitrophica,Root,k__Bacteria,p__Omnitrophica,,,,,
s__epidermidis,g__Staphylococcus,species,s__epidermidis,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__epidermidis
o__Nostocales,c__Oxyphotobacteria,order,o__Nostocales,Root,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,,,
f__Nostocaceae,o__Nostocales,family,f__Nostocaceae,Root,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Nostocaceae,,
o__Holophagales,c__Acidobacteriia,order,o__Holophagales,Root,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Holophagales,,,
f__Holophagaceae,o__Holophagales,family,f__Holophagaceae,Root,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Holophagales,f__Holophagaceae,,
o__Oceanospirillales,c__Gammaproteobacteria,order,o__Oceanospirillales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,,,
f__Methylocystaceae,o__Rhizobiales,family,f__Methylocystaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,,
g__Pleomorphomonas,f__Methylocystaceae,genus,g__Pleomorphomonas,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Pleomorphomonas,
c__[Rhodothermi],p__Bacteroidetes,class,c__[Rhodothermi],Root,k__Bacteria,p__Bacteroidetes,c__[Rhodothermi],,,,
o__[Rhodothermales],c__[Rhodothermi],order,o__[Rhodothermales],Root,k__Bacteria,p__Bacteroidetes,c__[Rhodothermi],o__[Rhodothermales],,,
f__Rhodothermaceae,o__[Rhodothermales],family,f__Rhodothermaceae,Root,k__Bacteria,p__Bacteroidetes,c__[Rhodothermi],o__[Rhodothermales],f__Rhodothermaceae,,
g__Lachnoclostridium,f__Lachnospiraceae,genus,g__Lachnoclostridium,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoclostridium,
o__Caulobacterales,c__Alphaproteobacteria,order,o__Caulobacterales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,,,
f__Caulobacteraceae,o__Caulobacterales,family,f__Caulobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,,
g__Brevundimonas,f__Caulobacteraceae,genus,g__Brevundimonas,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,
o__Rhodocyclales,c__Betaproteobacteria,order,o__Rhodocyclales,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,,,
f__Rhodocyclaceae,o__Rhodocyclales,family,f__Rhodocyclaceae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,,
g__Candidatus_Accumulibacter,f__Rhodocyclaceae,genus,g__Candidatus_Accumulibacter,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Candidatus_Accumulibacter,
g__Flavobacterium,f__Flavobacteriaceae,genus,g__Flavobacterium,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,
f__Chitinophagaceae,o__[Saprospirales],family,f__Chitinophagaceae,Root,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,,
o__Obscuribacterales,c__Melainabacteria,order,o__Obscuribacterales,Root,k__Bacteria,p__Cyanobacteria,c__Melainabacteria,o__Obscuribacterales,,,
f__Cryomorphaceae,o__Flavobacteriales,family,f__Cryomorphaceae,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Cryomorphaceae,,
g__Rhodobacter,f__Rhodobacteraceae,genus,g__Rhodobacter,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rhodobacter,
